,onem
motionYaw,0.093678
magnetometerZ,0.068981
magnetometerY,0.064394
motionMagneticFieldZ,0.062237
magnetometerX,0.060712
motionGravityZ,0.060631
motionMagneticFieldY,0.05975
motionMagneticFieldX,0.055991
motionRoll,0.055566
motionGravityX,0.052184
motionGravityY,0.043257
motionPitch,0.041398
accelerometerAccelerationZ,0.037118
motionUserAccelerationZ,0.034343
motionUserAccelerationX,0.030665
accelerometerAccelerationX,0.024865
motionUserAccelerationY,0.022395
motionRotationRateX,0.021084
gyroRotationX,0.020847
accelerometerAccelerationY,0.020052
motionRotationRateZ,0.018409
gyroRotationZ,0.018093
gyroRotationY,0.017339
motionRotationRateY,0.016011
